FECHA_PRECIO,ANIO_PRECIO,MES_PRECIO,DIA_PRECIO,DEPARTAMENTO_EDS,MUNICIPIO_EDS,NOMBRE_COMERCIAL_EDS,PRECIO_PROMEDIO_PUBLICADO,TIPO_COMBUSTIBLE,CODIGO_MUNICIPIO_DANE,LATITUD_MUNICIPIO,LONGITUD_MUNICIPIO
2023-06-01,2023,06,01,BOGOTA D.C.,"BOGOTA, D.C.",ESTACION DE SERVICIO GNV PRIMERA DE MAYO,1999,GNCV,11001,4.6529541016,-74.0835647583
2022-05-01,2022,05,01,ATLANTICO,BARRANQUILLA,ESTACION DE SERVICIO GNV TERPEL AMIRA DE LA ROSA,1657,GNCV,08001,10.9815206528,-74.8277130127
2022-11-01,2022,11,01,BOLIVAR,CARTAGENA DE INDIAS,ESTACION DE SERVICIO SAN JUDAS,1986,GNCV,13001,10.4634332657,-75.4589004517
2021-08-01,2021,08,01,VALLE DEL CAUCA,CALI,GANMEGAN CALI,1696,GNCV,76001,3.3990437984,-76.5764923096
2023-10-01,2023,10,01,ATLANTICO,BARRANQUILLA,ESTACION DE SERVICIO GNV TERPEL AMIRA DE LA ROSA,2005,GNCV,08001,10.9815206528,-74.8277130127
2023-07-01,2023,07,01,ATLANTICO,BARRANQUILLA,GAZEL PASEO BOLIVAR,1978,GNCV,08001,10.9815206528,-74.8277130127
2024-05-01,2024,05,01,BOYACA,CHIQUINQUIRA,ESTACIÓN DE SERVICIO LA REINA,2469,GNCV,15176,5.6224880219,-73.8042449951
2023-04-01,2023,04,01,TOLIMA,IBAGUE,ESTACION DE SERVICIO LA PRIMAVERA IBAGUE,2219,GNCV,73001,4.451921463,-75.2525939941
2022-04-01,2022,04,01,ATLANTICO,BARRANQUILLA,ESTACION DE SERVICIO TERPEL PUERTA DE ORO - GNV,1618,GNCV,08001,10.9815206528,-74.8277130127
2022-04-01,2022,04,01,VALLE DEL CAUCA,CALI,ESTACION DE SERVICIO LA AVENIDA GAS VEHICULAR,1990,GNCV,76001,3.3990437984,-76.5764923096
2022-07-01,2022,07,01,RISARALDA,DOSQUEBRADAS,VÍA GAS,1920,GNCV,66170,4.8420209885,-75.6699371338
2021-07-01,2021,07,01,BOLIVAR,CARTAGENA DE INDIAS,EDS TERPEL GNV EL BOSQUE CARTAGENA,1649,GNCV,13001,10.4634332657,-75.4589004517
2021-10-01,2021,10,01,VALLE DEL CAUCA,CALI,EDS GAZEL BELALCAZAR,1630,GNCV,76001,3.3990437984,-76.5764923096
2024-08-01,2024,08,01,VALLE DEL CAUCA,CALI,ESTACION CORDOBA,2650,GNCV,76001,3.3990437984,-76.5764923096
2021-09-01,2021,09,01,MAGDALENA,SANTA MARTA,EDS GNC ZUCA,1639,GNCV,47001,11.1218948364,-73.8852767944
2023-07-01,2023,07,01,VALLE DEL CAUCA,CALI,ESTACION DE SERVICIO AVENIDA SUR GAS VEHICULAR,2617,GNCV,76001,3.3990437984,-76.5764923096
2022-08-01,2022,08,01,ANTIOQUIA,ITAGUI,ESTACION TEXACO # 3,2055,GNCV,05360,6.1792793274,-75.6142044067
2023-11-01,2023,11,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS ORION,1999,GNCV,11001,4.6529541016,-74.0835647583
2023-01-01,2023,01,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS ESSO LOS COMUNEROS,2048,GNCV,11001,4.6529541016,-74.0835647583
2024-01-01,2024,01,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS PATIO SITP PROSPERIDAD,1799,GNCV,11001,4.6529541016,-74.0835647583
2022-12-01,2022,12,01,TOLIMA,IBAGUE,ESTACIÓN DE SERVICIO MILENIUM GAS,2280,GNCV,73001,4.451921463,-75.2525939941
2021-07-01,2021,07,01,ATLANTICO,BARRANQUILLA,ESTACION DE SERVICIO TERPEL PUERTA DE ORO - GNV,1479,GNCV,08001,10.9815206528,-74.8277130127
2022-12-01,2022,12,01,VALLE DEL CAUCA,CALI,OPECOM EDS SILOE,2557,GNCV,76001,3.3990437984,-76.5764923096
2021-04-01,2021,04,01,VALLE DEL CAUCA,CALI,ESTACION DE SERVICIO GNC CAPRI,1849,GNCV,76001,3.3990437984,-76.5764923096
2022-05-01,2022,05,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS ESSO QUIROGA,1839,GNCV,11001,4.6529541016,-74.0835647583
2022-07-01,2022,07,01,VALLE DEL CAUCA,CALI,EDS LA CASONA GNV,2140,GNCV,76001,3.3990437984,-76.5764923096
2021-03-01,2021,03,01,VALLE DEL CAUCA,LA UNION,ESTACIÓN DE SERVICIO COOPERATIVA DE TRANSPORTADORES LA ANDINA,1950,GNCV,76400,4.5379371643,-76.1032867432
2023-11-01,2023,11,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS ESSO AVENIDA 68,2106,GNCV,11001,4.6529541016,-74.0835647583
2023-01-01,2023,01,01,VALLE DEL CAUCA,CALI,ESTACIÓN DE SERVICIO CUIDAD MODELO,2488,GNCV,76001,3.3990437984,-76.5764923096
2022-11-01,2022,11,01,RISARALDA,PEREIRA,ESTACIÓN DE SERVICIO TERPEL EL CARMEN GNV,2309,GNCV,66001,4.8036627769,-75.795791626
2023-10-01,2023,10,01,VALLE DEL CAUCA,CALI,EDS TERPEL GNV EL INGENIO,2645,GNCV,76001,3.3990437984,-76.5764923096
2024-03-01,2024,03,01,VALLE DEL CAUCA,CALI,ESTACION DE SERVICIOS EL TRIUNFO,2804,GNCV,76001,3.3990437984,-76.5764923096
2022-05-01,2022,05,01,META,VILLAVICENCIO,ESTACIÓN DE SERVICIO MILENIUM GAS CATAMA,1799,GNCV,50001,4.0916686058,-73.4929122925
2022-01-01,2022,01,01,RISARALDA,DOSQUEBRADAS,ESTACION DE SERVICIO DEL CAFÉ,1899,GNCV,66170,4.8420209885,-75.6699371338
2024-10-01,2024,10,01,VALLE DEL CAUCA,CALI,CHIPICHAPE - GNV,3072,GNCV,76001,3.3990437984,-76.5764923096
2025-02-01,2025,02,01,VALLE DEL CAUCA,YUMBO,PETROLGAS GNV,2799,GNCV,76892,3.5959136486,-76.5109863281
2022-08-01,2022,08,01,ATLANTICO,BARRANQUILLA,ESTACION DE SIETE DE ABRIL GNV,1708,GNCV,08001,10.9815206528,-74.8277130127
2024-06-01,2024,06,01,ATLANTICO,BARRANQUILLA,ESTACION DE SERVICIO TERPEL PUERTA DE ORO - GNV,2140,GNCV,08001,10.9815206528,-74.8277130127
2023-05-01,2023,05,01,QUINDIO,ARMENIA,EDS TERPEL EL TINTAL GNV,2664,GNCV,63001,4.4995012283,-75.724899292
2022-07-01,2022,07,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS ESSO PTE ARANDA,1890,GNCV,11001,4.6529541016,-74.0835647583
2022-12-01,2022,12,01,RISARALDA,PEREIRA,ESTACION DE SERVICIO GNV LA 17,2309,GNCV,66001,4.8036627769,-75.795791626
2021-11-01,2021,11,01,ANTIOQUIA,MEDELLIN,EDS GAZEL TOSCANA,1795,GNCV,05001,6.2575902939,-75.6110305786
2021-12-01,2021,12,01,ATLANTICO,BARRANQUILLA,GAZEL PASEO BOLIVAR,1578,GNCV,08001,10.9815206528,-74.8277130127
2024-02-01,2024,02,01,VALLE DEL CAUCA,BUENAVENTURA,TERPEL BUENAVENTURA GNV,2787,GNCV,76109,3.4933407307,-77.1187286377
2023-02-01,2023,02,01,BOLIVAR,CARTAGENA DE INDIAS,EDS GNV EL TIGRE,2026,GNCV,13001,10.4634332657,-75.4589004517
2022-09-01,2022,09,01,ATLANTICO,BARRANQUILLA,EDS TERPEL BOSTON - GNV,1766,GNCV,08001,10.9815206528,-74.8277130127
2021-06-01,2021,06,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS PATIO TM TEMPORAL NORTE,1499,GNCV,11001,4.6529541016,-74.0835647583
2021-08-01,2021,08,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS ESSO QUIROGA,1799,GNCV,11001,4.6529541016,-74.0835647583
2023-03-01,2023,03,01,RISARALDA,PEREIRA,ESTACIÓN LA SUR GNV,2409,GNCV,66001,4.8036627769,-75.795791626
2021-06-01,2021,06,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS ESSO INCOCENTRO CALLE 49,1699,GNCV,11001,4.6529541016,-74.0835647583
2023-12-01,2023,12,01,BOYACA,SOGAMOSO,ESTACIÓN DE SERVICIO EL TERMINAL GN,2115,GNCV,15759,5.6466722488,-72.8709564209
2023-01-01,2023,01,01,BOYACA,TUNJA,ESTACION DE SERVICIO GNV LA ESMERALDA,2050,GNCV,15001,5.5184726715,-73.3780212402
2024-07-01,2024,07,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS GNV TERPEL AV. BOYACA,2239,GNCV,11001,4.6529541016,-74.0835647583
2021-03-01,2021,03,01,SANTANDER,LEBRIJA,E.D.S SAN PABLO ECOLOGICA,1799,GNCV,68406,7.2040600777,-73.2913818359
2023-04-01,2023,04,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS ESSO INCOCENTRO CALLE 49,2149,GNCV,11001,4.6529541016,-74.0835647583
2021-01-01,2021,01,01,VALLE DEL CAUCA,CALI,ESTACION DE SERVICIO GNV CAÑAVERALES,1959,GNCV,76001,3.3990437984,-76.5764923096
2022-10-01,2022,10,01,BOLIVAR,CARTAGENA DE INDIAS,EDS GNV EL TIGRE,1876,GNCV,13001,10.4634332657,-75.4589004517
2023-08-01,2023,08,01,VALLE DEL CAUCA,CALI,EDS AMARILLO Y CREMA GNV,2600,GNCV,76001,3.3990437984,-76.5764923096
2022-10-01,2022,10,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS ESSO INCOCENTRO CALLE 49,1989,GNCV,11001,4.6529541016,-74.0835647583
2021-10-01,2021,10,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS ESSO INDUSTRIAL BOYACA,1779,GNCV,11001,4.6529541016,-74.0835647583
2021-09-01,2021,09,01,SANTANDER,BARBOSA,ESTACIÓN DE SERVICIO AEROPUERTO BARBOSA,1879,GNCV,68077,5.9556174278,-73.6234512329
2022-01-01,2022,01,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS PATIO SITP PROSPERIDAD,1499,GNCV,11001,4.6529541016,-74.0835647583
2024-08-01,2024,08,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS PATIO TM AMERICAS,1799,GNCV,11001,4.6529541016,-74.0835647583
2022-07-01,2022,07,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS ESSO INCOCENTRO CALLE 49,1890,GNCV,11001,4.6529541016,-74.0835647583
2024-06-01,2024,06,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS TERPEL LAS VILLAS GNV,2209,GNCV,11001,4.6529541016,-74.0835647583
2023-09-01,2023,09,01,ANTIOQUIA,MEDELLIN,EDS ESSO BOLIVARIANA,2415,GNCV,05001,6.2575902939,-75.6110305786
2023-05-01,2023,05,01,BOGOTA D.C.,"BOGOTA, D.C.",ESTACION DE SERVICIO PALOQUEMADO,2139,GNCV,11001,4.6529541016,-74.0835647583
2022-10-01,2022,10,01,VALLE DEL CAUCA,CALI,ESTACION DE SERVICIOS LAS CEIBAS CALI S.A.S.,2270,GNCV,76001,3.3990437984,-76.5764923096
2024-01-01,2024,01,01,BOGOTA D.C.,"BOGOTA, D.C.",ESTACIÓN DE SERVICIO MOBIL CALLE 170,2199,GNCV,11001,4.6529541016,-74.0835647583
2021-06-01,2021,06,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS TERPEL VILLA CLAUDIA GNV,1699,GNCV,11001,4.6529541016,-74.0835647583
2024-03-01,2024,03,01,BOLIVAR,CARTAGENA DE INDIAS,ESTACION DE SERVICIO TERNERA GNV,2386,GNCV,13001,10.4634332657,-75.4589004517
2021-02-01,2021,02,01,VALLE DEL CAUCA,CALI,EDS LA 70,1825,GNCV,76001,3.3990437984,-76.5764923096
2021-08-01,2021,08,01,VALLE DEL CAUCA,CALI,ESTACION DE SERVICIO GNV PRADOS DEL NORTE,1730,GNCV,76001,3.3990437984,-76.5764923096
2022-07-01,2022,07,01,VALLE DEL CAUCA,CALI,EDS GNV  LOS ANDES,2044,GNCV,76001,3.3990437984,-76.5764923096
2023-11-01,2023,11,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS PATIO TM NORTE ACTUAL,1799,GNCV,11001,4.6529541016,-74.0835647583
2023-06-01,2023,06,01,ANTIOQUIA,BELLO,ESTACION DE SERVICIO GNV BAHIA,2400,GNCV,05088,6.3588409424,-75.5897369385
2024-04-01,2024,04,01,BOGOTA D.C.,"BOGOTA, D.C.",ESTACIÓN DE SERVICIO LAS FLORES,2198,GNCV,11001,4.6529541016,-74.0835647583
2021-02-01,2021,02,01,VALLE DEL CAUCA,CALI,ESTACION DE SERVICIO TERPEL CAÑAVERALEJO - GNV,1790,GNCV,76001,3.3990437984,-76.5764923096
2024-10-01,2024,10,01,QUINDIO,ARMENIA,EDS GAS VEHICULAR,3031,GNCV,63001,4.4995012283,-75.724899292
2022-07-01,2022,07,01,VALLE DEL CAUCA,CALI,CHIPICHAPE - GNV,2139,GNCV,76001,3.3990437984,-76.5764923096
2023-12-01,2023,12,01,CUNDINAMARCA,SOACHA,EDS SOACHA,2199,GNCV,25754,4.5818662643,-74.2402954102
2023-01-01,2023,01,01,ANTIOQUIA,MEDELLIN,EDS TERPEL NORTE GNV,2395,GNCV,05001,6.2575902939,-75.6110305786
2021-03-01,2021,03,01,CALDAS,MANIZALES,ESTACION DE SERVICIO TERPEL MANIZALES GNV,1969,GNCV,17001,5.0834331512,-75.5072784424
2021-05-01,2021,05,01,VALLE DEL CAUCA,CALI,EDS CENCOSUD SIMON BOLIVAR GNV,1745,GNCV,76001,3.3990437984,-76.5764923096
2022-11-01,2022,11,01,CESAR,BOSCONIA,EDS GNV EL MULERO,1846,GNCV,20060,9.9463911057,-73.8662872314
2023-05-01,2023,05,01,VALLE DEL CAUCA,PALMIRA,ESTACION DE SERVICIO TERPEL PALMIRANA GNV,2607,GNCV,76520,3.5583927631,-76.2277984619
2022-10-01,2022,10,01,CALDAS,MANIZALES,EDS GAZEL AVENIDA DEL RIO,2409,GNCV,17001,5.0834331512,-75.5072784424
2024-09-01,2024,09,01,CESAR,VALLEDUPAR,EDS TERPEL LA VALLENATA GNV,2494,GNCV,20001,10.2189025879,-73.4578475952
2022-03-01,2022,03,01,ATLANTICO,BARRANQUILLA,EDS COESCO PRADO,1687,GNCV,08001,10.9815206528,-74.8277130127
2022-02-01,2022,02,01,RISARALDA,PEREIRA,ESTACIÓN LA SUR GNV,1899,GNCV,66001,4.8036627769,-75.795791626
